Monthly Review
entity,Acme Studio LLC
month,2026-12
currency,USD

metric,amount_minor,amount
money_in,28438150,284381.50
money_out,25030743,250307.43
net_result,3407407,34074.07
owed_to_you,2137500,21375.00
you_owe,399000,3990.00
payroll,11787648,117876.48

top_customers
name,amount_minor,amount
Atlas Advisory,4189200,41892.00
Pine Street Coffee,3918700,39187.00
Cedar Works,3737050,37370.50
Bright Path Therapy,3462900,34629.00
Riverbend Fitness,3095700,30957.00

top_expense_categories
name,amount_minor,amount
Payroll & Contractors,11794348,117943.48
Rent,1631950,16319.50
Software & SaaS,2713400,27134.00
Cloud/Infrastructure,2247700,22477.00
Marketing & Ads,2899400,28994.00
